country,year,iso_code,population,gdp,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,cluster
Brazil,1990,BRA,150706448.0,1185475198976.0,0.073,218.658,6.587,3.106,1742.684,136.206,8.479,11.563,1.47,1.113,1.451,0.184,0.14,37.095,0.246,245.447,1.629,0.207,247.094,4652.159,70313.602,810.97,51.672,62.587,69819.438,3476.148,3.688,10391.007,1.321,7.554,0.05,7.484,0.05,3.931,10.903,1524.026,10.113,291.05,1.931,111.7,0.741,151.775,1.007,0.024,3.688,1565.992,2.241,0.961,6.242,0.426,2.018,0.576,4.887,0.185,0.632,0.079,10.986,1.292,0.199,2.919,0.195,29.496,1.642,1.654,4.327,0.013,0.028,0.042,0.001,1643.11,592.5,1
Brazil,1991,BRA,153336448.0,1213090103296.0,0.077,229.394,10.736,4.91,1831.239,88.555,5.082,11.943,1.51,1.133,1.496,0.189,0.142,42.466,0.277,251.937,1.643,0.208,258.87,4881.553,72144.836,853.436,59.033,69.923,71421.281,3632.848,7.443,10542.793,1.333,7.361,0.048,7.336,0.048,4.002,10.853,1601.845,10.447,300.15,1.957,115.63,0.754,156.7,1.022,0.024,3.755,1616.594,2.321,0.988,6.499,0.493,2.03,0.587,4.918,0.191,0.699,0.084,11.151,1.303,0.36,2.686,0.188,32.383,1.614,1.742,4.362,0.013,0.028,0.043,0.001,1664.23,613.62,1
Brazil,1992,BRA,155900784.0,1221828542464.0,0.063,233.601,4.207,1.834,1925.131,93.892,5.127,12.348,1.576,1.174,1.498,0.191,0.142,41.203,0.264,253.867,1.628,0.208,268.64,5115.154,74069.969,894.639,66.478,77.906,73112.812,3796.1,11.391,10515.058,1.342,7.445,0.048,7.983,0.051,4.0,10.739,1691.531,10.85,305.53,1.96,117.29,0.752,163.252,1.047,0.025,3.948,1639.306,1.848,1.035,6.927,0.49,2.023,0.599,4.955,0.197,0.765,0.09,11.323,1.318,0.499,3.077,0.202,32.386,1.772,1.826,4.401,0.014,0.029,0.044,0.001,1674.22,623.61,1
Brazil,1993,BRA,158440864.0,1298220843008.0,0.064,244.306,10.705,4.583,1801.391,-123.74,-6.428,11.369,1.388,1.05,1.542,0.188,0.142,42.343,0.267,262.488,1.657,0.202,278.804,5359.46,75871.359,936.982,74.054,86.636,74669.898,3967.352,15.632,10825.511,1.321,7.576,0.048,8.73,0.055,4.008,10.639,1557.085,9.828,306.67,1.936,120.07,0.758,171.252,1.081,0.027,4.241,1715.203,1.844,1.072,6.45,0.497,2.015,0.611,4.983,0.202,0.83,0.095,11.473,1.335,0.626,3.236,0.215,30.358,1.858,1.962,4.442,0.014,0.03,0.045,0.002,1685.63,635.0,1
Brazil,1994,BRA,160980480.0,1391783968768.0,0.063,254.002,9.696,3.969,2193.873,392.482,21.788,13.628,1.576,1.22,1.578,0.183,0.141,43.667,0.271,275.863,1.714,0.198,288.89,5613.462,78065.227,980.648,82.058,95.621,76609.773,4146.515,19.73,11174.377,1.292,8.004,0.05,8.985,0.056,4.049,10.576,1939.871,12.05,313.05,1.945,123.53,0.767,179.162,1.113,0.025,4.098,1798.857,1.714,1.103,7.615,0.51,2.003,0.624,5.031,0.208,0.888,0.1,11.667,1.353,0.727,2.542,0.219,33.583,1.936,1.894,4.489,0.015,0.03,0.047,0.002,1702.5,651.87,1
Brazil,1995,BRA,163515328.0,1468835168256.0,0.071,268.678,14.676,5.778,2172.453,-21.421,-0.976,13.286,1.479,1.136,1.643,0.183,0.14,45.582,0.279,298.736,1.827,0.203,300.418,5882.14,80237.68,1026.231,89.572,105.224,78513.547,4336.861,23.834,11697.941,1.302,7.514,0.046,9.603,0.059,4.15,10.576,1903.775,11.643,319.19,1.952,125.48,0.767,190.347,1.164,0.025,4.104,1912.793,1.853,1.142,7.449,0.518,1.997,0.637,5.076,0.214,0.936,0.106,11.856,1.374,0.811,2.302,0.228,33.758,2.038,1.836,4.535,0.015,0.031,0.048,0.002,1729.29,678.65,1
Brazil,1996,BRA,166037120.0,1520364945408.0,0.084,289.311,20.633,7.679,2042.495,-129.958,-5.982,12.301,1.343,1.008,1.742,0.19,0.143,46.468,0.28,321.985,1.939,0.212,314.302,6171.451,82280.18,1072.699,97.393,115.832,80266.734,4543.143,28.082,12198.168,1.332,7.821,0.047,10.608,0.064,4.108,10.436,1753.184,10.559,311.52,1.876,116.09,0.699,206.281,1.242,0.026,4.248,2025.349,2.186,1.193,6.753,0.515,2.005,0.651,5.108,0.219,0.982,0.112,12.012,1.396,0.889,2.231,0.241,29.233,2.144,1.913,4.571,0.015,0.032,0.049,0.002,1732.8,682.1,1
Brazil,1997,BRA,168546704.0,1591956078592.0,0.091,306.949,17.638,6.097,2206.547,164.052,8.032,13.092,1.386,1.025,1.821,0.193,0.143,47.044,0.279,342.538,2.032,0.215,329.569,6478.4,84486.727,1119.743,105.997,127.695,82166.328,4762.975,32.42,12775.408,1.353,8.604,0.051,11.863,0.07,4.219,10.469,1899.598,11.27,320.61,1.902,120.11,0.713,219.833,1.304,0.026,4.338,2153.253,2.31,1.258,6.922,0.524,2.017,0.667,5.143,0.225,1.032,0.118,12.16,1.421,0.958,2.438,0.269,25.392,2.251,1.939,4.609,0.016,0.033,0.05,0.002,1764.52,711.14,1
Brazil,1998,BRA,171039808.0,1617675812864.0,0.095,317.359,10.41,3.391,2463.363,256.815,11.639,14.402,1.523,1.105,1.855,0.196,0.142,45.591,0.267,349.415,2.043,0.216,345.744,6795.759,86950.094,1165.334,115.46,140.106,84312.336,4992.553,36.561,13032.864,1.378,9.463,0.055,12.411,0.073,4.3,10.525,2146.004,12.547,337.42,1.973,130.37,0.762,229.578,1.342,0.024,4.141,2229.139,2.457,1.304,8.078,0.522,2.034,0.682,5.196,0.23,1.089,0.124,12.364,1.447,1.014,2.811,0.277,34.809,2.32,1.877,4.655,0.016,0.034,0.052,0.002,1800.27,735.53,1
Brazil,1999,BRA,173486272.0,1645888012288.0,0.095,327.256,9.897,3.119,2490.505,27.142,1.102,14.356,1.513,1.105,1.886,0.199,0.145,46.805,0.27,333.109,1.92,0.202,362.183,7123.015,89440.602,1212.139,125.583,154.175,86475.578,5228.022,40.913,12995.942,1.37,10.123,0.058,14.069,0.081,4.34,10.442,2163.249,12.469,338.43,1.951,129.16,0.744,235.468,1.357,0.025,4.352,2254.618,2.381,1.318,8.076,0.528,2.047,0.698,5.248,0.235,1.148,0.131,12.571,1.472,1.07,3.066,0.306,36.03,2.323,1.985,4.702,0.016,0.035,0.053,0.002,1811.5,752.89,1
Brazil,2000,BRA,175873712.0,1739727962112.0,0.091,340.183,12.927,3.95,2299.381,-191.124,-7.674,13.074,1.322,0.976,1.934,0.196,0.144,50.46,0.287,350.273,1.992,0.201,378.23,7463.198,91739.977,1262.599,136.32,172.618,88434.781,5467.51,45.921,13400.32,1.355,10.737,0.061,18.442,0.105,4.391,10.314,1959.198,11.14,333.94,1.899,124.64,0.709,239.488,1.362,0.028,5.008,2356.764,2.224,1.334,7.447,0.548,2.054,0.713,5.287,0.24,1.208,0.141,12.756,1.496,1.137,3.092,0.39,36.446,2.33,2.315,4.741,0.017,0.036,0.054,0.002,1813.94,772.34,1
Brazil,2001,BRA,178211888.0,1785513115648.0,0.085,346.166,5.983,1.759,2227.689,-71.693,-3.118,12.5,1.248,0.969,1.942,0.194,0.151,49.427,0.277,343.085,1.925,0.192,393.457,7809.364,93967.664,1312.026,148.041,195.803,90316.297,5709.305,50.732,12893.828,1.287,11.721,0.066,23.186,0.13,4.473,10.684,1881.523,10.558,347.57,1.95,132.72,0.745,241.795,1.357,0.027,4.811,2297.833,2.02,1.348,7.254,0.534,2.053,0.728,5.322,0.245,1.274,0.154,12.934,1.519,1.193,3.49,0.487,37.36,2.335,2.255,4.779,0.017,0.037,0.056,0.002,1904.0,797.2,1
Brazil,2002,BRA,180476688.0,1861742362624.0,0.08,347.765,1.599,0.462,2328.348,100.659,4.519,12.901,1.251,0.991,1.927,0.187,0.148,48.689,0.27,331.608,1.837,0.178,407.847,8157.129,96296.016,1360.715,159.259,225.096,92296.891,5948.524,55.688,13021.791,1.262,11.218,0.062,29.293,0.162,4.578,10.758,1980.583,10.974,371.36,2.058,147.54,0.818,239.219,1.325,0.027,4.956,2350.13,1.84,1.325,7.36,0.503,2.045,0.743,5.358,0.25,1.333,0.171,13.116,1.541,1.246,3.455,0.597,36.778,2.314,2.291,4.821,0.017,0.038,0.057,0.002,1941.57,826.21,1
Brazil,2003,BRA,182629280.0,1904932683776.0,0.072,344.645,-3.12,-0.897,3318.011,989.663,42.505,18.168,1.742,1.386,1.887,0.181,0.144,51.933,0.284,324.032,1.774,0.17,420.943,8501.773,99614.023,1412.648,170.458,256.015,95270.25,6180.958,60.752,13111.923,1.257,11.199,0.061,30.919,0.169,4.608,10.707,2973.366,16.281,387.02,2.119,152.26,0.834,232.434,1.273,0.028,5.064,2394.621,1.523,1.247,9.91,0.494,2.023,0.755,5.441,0.255,1.387,0.187,13.427,1.558,1.295,3.25,0.608,50.97,2.189,2.291,4.877,0.018,0.039,0.059,0.002,1955.42,841.52,1
