Domain,country,Element,Item,year,Source,co2_emissions
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","1990","FAO TIER 1","339.8606"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","1991","FAO TIER 1","339.8606"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","1992","FAO TIER 1","339.8606"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","1993","FAO TIER 1","362.9781"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","1994","FAO TIER 1","362.9781"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","1995","FAO TIER 1","365.9631"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","1996","FAO TIER 1","368.5227"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","1997","FAO TIER 1","371.3795"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","1998","FAO TIER 1","380.3541"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","1999","FAO TIER 1","397.1654"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2000","FAO TIER 1","394.3458"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2001","FAO TIER 1","395.2482"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2002","FAO TIER 1","397.3661"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2003","FAO TIER 1","399.2842"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2004","FAO TIER 1","467.9481"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2005","FAO TIER 1","467.9481"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2006","FAO TIER 1","467.9481"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2007","FAO TIER 1","467.9481"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2008","FAO TIER 1","467.9481"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2009","FAO TIER 1","467.9481"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2010","FAO TIER 1","467.9481"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2011","FAO TIER 1","467.9481"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2012","FAO TIER 1","467.9481"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2013","FAO TIER 1","467.9481"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2014","FAO TIER 1","467.9481"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2015","FAO TIER 1","467.9481"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2016","FAO TIER 1","470.3686"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2017","FAO TIER 1","485.4838"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2018","FAO TIER 1","489.632"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2019","FAO TIER 1","478.5922"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2020","FAO TIER 1","478.5922"
"Emissions totals","Brazil","Emissions (CO2)","Drained organic soils (CO2)","2021","FAO TIER 1","478.5922"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","1990","FAO TIER 1","10824.2099"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","1991","FAO TIER 1","11314.6339"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","1992","FAO TIER 1","11684.57"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","1993","FAO TIER 1","12847.0556"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","1994","FAO TIER 1","13601.3288"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","1995","FAO TIER 1","14700.1594"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","1996","FAO TIER 1","15336.4535"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","1997","FAO TIER 1","16007.6656"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","1998","FAO TIER 1","15421.6085"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","1999","FAO TIER 1","16569.3335"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2000","FAO TIER 1","16351.6027"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2001","FAO TIER 1","18143.5078"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2002","FAO TIER 1","17436.0867"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2003","FAO TIER 1","17483.5929"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2004","FAO TIER 1","17367.8037"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2005","FAO TIER 1","17275.3718"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2006","FAO TIER 1","17503.9027"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2007","FAO TIER 1","18402.6309"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2008","FAO TIER 1","20741.5652"
"Emissions totals","Brazil","Emissions (CO2)","On-farm energy use","2009","FAO TIER 1","19650.5804"
